text,label,line
"Lexical organization of nouns and verbs in the brain. The analysis of neuropsychological disorders of lexical processing has provided important clues about the general organization of the lexical system and the internal structure of the processing components. Reports of patients with selective dysfunction of specific semantic categories such as abstract versus concrete words, living things versus inanimate objects, animals, fruits and vegetables, proper names and so forth, support the hypothesis that the neural organization of the semantic processing component is organized in these categories. There are reports of selective dysfunction of the grammatical categories noun and verb, suggesting that a dimension of lexical organization is the grammatical class of words. But the results reported in these studies have not provided unambiguous evidence concerning two fundamental questions about the nature and the locus of this organization within the lexical system. Is the noun-verb distinction represented in the semantic or in the phonological and orthographic lexicons? Is grammatical-class knowledge represented independently of lexical forms or is it represented separately and redundantly within each modality-specific lexicon? Here we report the performance of two brain-damaged subjects with modality-specific deficits restricted principally (H.W.) or virtually only (S.J.D) to verbs in oral and written production, respectively. The contrasting performance suggests that grammatical-class distinctions are redundantly represented in the phonological and orthographic output lexical components. ",3,28
"Vitamin B6 in the treatment of the premenstrual syndrome--a review [published erratum appears in Br J Obstet Gynaecol 1991 Mar;98(3):329-30] A search of the literature yielded 12 controlled trials on vitamin B6 in the treatment of the premenstrual syndrome. These are discussed with emphasis on methodological aspects. A major drawback of the trials is the limited number of patients included. The existing evidence of positive effects of vitamin B6 is weak, and some well-designed trials with positive results would be needed to change this view. ",5,29
"Ratio of immunochemically determined amniotic fluid acetylcholinesterase to butyrylcholinesterase in the differential diagnosis of fetal abnormalities. A total of 111 amniotic fluid samples, clear or blood stained, with elevated levels of alpha-fetoprotein and acetylcholinesterase was analysed by immunoassays specific for acetylcholinesterase and butyrylcholinesterase and the acetylcholinesterase/butyrylcholinesterase-ratios determined. Samples from 40 pregnancies associated with anencephaly, 47 pregnancies associated with open spina bifida or encephalocele and six pregnancies with fetal intrauterine death or miscarriage all had ratios of greater than 0.14. All 11 pregnancies with fetal ventral wall defects had ratios less than 0.14 as had four pregnancies with normal outcome and elevated levels of alpha-fetoprotein and acetylcholinesterase. Three fetuses with both open spina bifida and ventral wall defects were associated with ratios above 0.14. These results suggest that immunochemical determination of acetylcholinesterase and butyrylcholinesterase can be used to distinguish pregnancies complicated by anencephaly, open spina bifida, encephalocele and miscarriage from those with ventral wall defects and samples with false positive elevated levels of alpha-fetoprotein and acetylcholinesterase. The procedure is accurate and simple to carry out and well suited to routine use in a clinical chemistry laboratory. ",3,30
"Colonic motor activity in acute colitis in conscious dogs. The changes in motor activity of the colon during acute colitis were investigated in six conscious dogs. The motor activity was recorded with seven strain-gauge transducers. Colitis was induced in the entire colon by luminal perfusion of acetic acid. The dogs exhibited urgency and diarrhea with mucus and blood during colitis. The mucosa was diffusely erythematous and friable and there were scattered ulcerations over the mucosal surface. The motor activity of the colon changed in several ways during colitis: (a) the total duration per hour and the mean duration of contractile states decreased significantly; (b) the cycle length of colonic migrating motor complexes was significantly prolonged, and the nonmigrating motor complexes were almost completely absent; and (d) the incidence of giant migrating contractions increased significantly. About half of the giant migrating contractions were followed by defecation. The remaining expelled mucus or gas. Sometimes, a migrating motor complex in the colon was also followed by defecation; this was never observed in the normal state. The motor activity of the colon was still decreased and the cycle length prolonged 21 days after induction of colitis. However, the dogs were asymptomatic at this time and the mucosa looked normal at colonoscopy. The incidence of giant migrating contractions was also normal at this time. It was concluded that the dog is a good model for the study of colitis because of the similarity of symptoms with human ulcerative colitis. The phasic contractions of the colon decreases during colitis but the incidence of giant migrating contractions is increased. The diarrhea in colitis may primarily be due to the large number of giant migrating contractions in the middle and the distal colon. ",5,31
"Ki67 index and S-phase fraction in human breast carcinomas. Comparison and correlations with prognostic factors. In a prospective study of 148 consecutive breast adenocarcinomas, proliferative indices of the same surgical tumor sample were performed by immunohistologic staining (Ki67 index) with the use of the Ki67 monoclonal antibody, which binds to a nuclear antigen only expressed in cycling cells, and by flow cytometry-derived S-phase fraction (SPF). Measurable Ki67 and SPF indices were obtained in 142 cases and 99 cases, respectively, and in 96 cases by both methods. In aneuploid tumors, a significant but low (P less than 0.05, r = 0.3) relationship was observed between Ki67 index and SPF. When compared with clinical, pathologic, and biochemical parameters these two proliferative indices were shown to be associated with nuclear grading and mitotic index. Additionally, correlations were observed between Ki67 index and node involvement (P less than 0.02) and between SPF and estrogen receptors (P = 0.002). These results show that (1) proliferative indices are obtained in 96% of surgical samples with Ki67 versus 67% with SPF and that (2) Ki67 index and SPF may provide complementary data with respect to prognosis. ",1,32
"Effects of menstrual phase and amenorrhea on exercise performance in runners. There are few well controlled studies in terms of subject selection, menstrual classification, and exercise protocol that have examined both maximal and submaximal exercise responses during different phases of the menstrual cycle in eumenorrheic runners and compared these runners to amenorrheic runners. Thus, the purpose of this study was to measure selected physiological and metabolic responses to maximal and submaximal exercise during two phases of the menstrual cycle in eumenorrheic runners and amenorrheic runners. Eight eumenorrheic runners (29.0 +/- 4.2 yr) and eight amenorrheic runners (24.5 +/- 5.7 yr) matched for physical, gynecological, and training characteristics were studied. The eumenorrheic runners performed one maximal and one submaximal (40 min at 80% VO2max) treadmill run during both the early follicular (days 2-4) and midluteal (6-8 d from LH surge) phases. The amenorrheic runners performed one maximal and one submaximal (40 min at 80% VO2max) treadmill run. Cycle phases were documented by urinary luteinizing hormone and progesterone assays and by plasma estradiol and progesterone assays. No differences were observed in oxygen uptake, minute ventilation, heart rate, respiratory exchange ratio, rating of perceived exertion, time to fatigue (maximal), and plasma lactate (following the maximal and submaximal exercise tests) between the follicular and luteal phases in the eumenorrheic runners and the amenorrheic runners. We conclude that neither menstrual phase (follicular vs luteal) nor menstrual status (eumenorrheic vs amenorrheic) alters or limits exercise performance in female athletes. ",5,33
"Radiographic manifestations of anomalies of the lung. Congenital nonvascular anomalies of the lung can be subdivided into those affecting the bronchial tree and those affecting parenchymal abnormalities. Embryologic development of the lung is briefly reviewed to facilitate an understanding of developmental pulmonary anomalies. Clinical, radiographic, and therapeutic aspects of these anomalies are discussed. ",4,34
"Clarifying confusion: the confusion assessment method. A new method for detection of delirium OBJECTIVE: To develop and validate a new standardized confusion assessment method (CAM) that enables nonpsychiatric clinicians to detect delirium quickly in high-risk settings. DESIGN: Prospective validation study. SETTING: Conducted in general medicine wards and in an outpatient geriatric assessment center at Yale University (site 1) and in general medicine wards at the University of Chicago (site 2). PATIENTS: The study included 56 subjects, ranging in age from 65 to 98 years. At site 1, 10 patients with and 20 without delirium participated; at site 2, 16 patients with and 10 without delirium participated. MEASUREMENTS AND MAIN RESULTS: An expert panel developed the CAM through a consensus building process. The CAM instrument, which can be completed in less than 5 minutes, consists of nine operationalized criteria from the Diagnostic and Statistical Manual of Mental Disorders (DSM-III-R). An a priori hypothesis was established for the diagnostic value of four criteria: acute onset and fluctuating course, inattention, disorganized thinking, and altered level of consciousness. The CAM algorithm for diagnosis of delirium required the presence of both the first and the second criteria and of either the third or the fourth criterion. At both sites, the diagnoses made by the CAM were concurrently validated against the diagnoses made by psychiatrists. At sites 1 and 2 values for sensitivity were 100% and 94%, respectively; values for specificity were 95% and 90%; values for positive predictive accuracy were 91% and 94%; and values for negative predictive accuracy were 100% and 90%. The CAM algorithm had the highest predictive accuracy for all possible combinations of the nine features of delirium. The CAM was shown to have convergent agreement with four other mental status tests, including the Mini-Mental State Examination. The interobserver reliability of the CAM was high (kappa = 0.81 - 1.0). CONCLUSIONS: The CAM is sensitive, specific, reliable, and easy to use for identification of delirium. ",3,35
"The mutation for medullary thyroid carcinoma with parathyroid tumors (MTC with PTs) is closely linked to the centromeric region of chromosome 10. Two new morphs (F and G) detected by the centromeric alpha satellite probe p alpha 10RP8 and D10Z1 in HinfI digests are linked to the PstI polymorphisms of D10Z1, confirming their chromosome 10 location. The F and G morphs were in strong linkage disequilibrium with each other but were in weak linkage disequilibrium with the A and B morphs defined in PstI digests. Data for haplotypes formed by using the A and F morphs improved the lod score for linkage between the disease locus for multiple endocrine neoplasia type 2A (MEN2A) and D10Z1 (Z = 14.06 at theta = 0) in the six large families studied by Wu et al. Furthermore, the locus that codes for a distinct phenotype, medullary thyroid carcinoma (MTC) with parathyroid tumors (PTs) and no pheochromocytomas (PHEOs) (referred to as MTC with PTs), in one of the families was closely linked to two markers, D10Z1 and RBP3, with lodscores of 2.86 and 3.54, respectively, at theta = 0. A possible allelic association was noted between disease phenotypes and centromeric haplotypes. The phenotype MTC and PHEOs with and without PTs was associated with the same relatively common centromeric haplotype (A + B-F-G-) in the four families in which all four morphs could be determined, while the phenotype MTC with PTs was associated with the rare centromeric haplotype (A-B-F-G+) in one family. ",1,36
"The Mansfield Scientific Aortic Valvuloplasty Registry: overview of acute hemodynamic results and procedural complications. Between December 1, 1986 and October 30, 1987, balloon aortic valvuloplasty was performed in 492 patients with aortic stenosis (mean age 79 +/- 8.4 years) enrolled in the Mansfield Scientific Aortic Valvuloplasty Registry. All procedures were performed from a femoral approach (92%), brachial approach (6%) or transseptal approach (2%) and utilized either a single balloon technique (72%) or a double balloon technique (28%). Valvuloplasty resulted in a significant improvement in aortic valve area (0.50 +/- 0.18 cm2 to 0.82 +/- 0.30 cm2), mean aortic valve gradient (60 +/- 23 mm Hg to 30 +/- 13 mm Hg) and cardiac output (3.86 +/- 1.26 to 4.05 +/- 1.31 liters/min). Serial aortography demonstrated a moderate or severe increase in aortic insufficiency in only 2.1% of patients. Statistical analysis of the procedural factors affecting acute valvuloplasty results demonstrated significant correlations of single versus double balloon technique, total number of balloon inflations and total number of balloon exchanges with respect to the absolute change in mean aortic valve gradient occurring during the valvuloplasty procedure. In addition, there was a significant correlation between the maximal time of valvuloplasty balloon inflation with aortic valve area measured after valvuloplasty, and there were significant correlations of the total number of balloon inflations and total number of balloon exchanges with the aortic valve mean gradient measured after valvuloplasty. The overall complication rate for the procedure was 20.5%, including vascular injury in 11%, embolic phenomenon in 2.2%, ventricular perforation resulting in tamponade in 1.8%, massive aortic insufficiency in 1%, nonfatal arrhythmia in 0.8% and myocardial infarction in 0.2%. ",4,37
"Meralgia paresthetica after coronary bypass surgery. Meralgia paresthetica is a neurologic disorder characterized by localized paresthesia and numbness on the anterolateral aspect of the thigh and involving the lateral femoral cutaneous nerve. It involves no motor deficits. Meralgia paresthetica, which may result from a variety of causes, has been observed as a rare complication in heart operations. Its cause when associated with such operations is uncertain but may be prolonged relaxed positioning on the operating table and recovery room stretcher. Another possible cause of meralgia paresthetica after heart operations is the ""frog-leg"" position of the legs during vein harvesting. Patients with this condition should be advised of its untreatable, but benign and self-limiting, nature. ",3,38
"Modified anterior compartment resection. In the majority of patients with soft tissue sarcomas of the anterior compartment of the thigh, it is possible to preserve a small portion of the quadriceps with intact nerve supply without compromising on the radicality of the procedure or the local control rate. The distal one-third of the vastus medialis can usually be spared with a long, slender branch providing its innervation. Dissection of the femoral nerve below the inguinal ligament and its branch(es) to an uninvolved area of the quadricepts the farthest from the location of the tumor is essential. This modified anterior compartment resection improves dramatically the function of the extremity. ",1,39
"Pheochromocytoma in the pediatric age group: the prostate--an unusual location. Pheochromocytomas of the prostate are rare, with only 3 cases in adults reported in the literature. We present the case of an 8-year-old boy with a pheochromocytoma of the prostate and a second tumor in the region of the left internal iliac artery. ",1,40
"Recombinative events of the T cell antigen receptor delta gene in peripheral T cell lymphomas. Recombinative events of the T cell antigen receptor (TCR) delta-chain gene were studied in 37 cases of peripheral T cell lymphoma (PTCL) and related to their clinical presentation and the expression of the alpha beta or gamma delta heterodimers as determined by immunostaining of frozen tissue samples. There were 22 cases of alpha beta, 5 cases of gamma delta, and 10 cases of silent TCR expressing neither the alpha beta nor gamma delta TCR. 5 different probes were used to examine the delta locus. The 22 cases of alpha beta PTCL displayed biallelic and monoallelic deletions; a monoallelic V delta 1 J delta 1 rearrangement was observed in 1 case and a monoallelic germ line configuration in 7 cases. The 5 cases of gamma delta PTCL displayed biallelic rearrangements: the productive rearrangements could be ascribed to V delta 1J delta 1 joining in 3 cases and VJ delta 1 joining in 2 cases according to the combined pattern of DNA hybridization with the appropriate probes and of cell reactivity with the TCR delta-1, delta TCS-1, and anti-V delta 2 monoclonal antibodies. In the VJ delta 1 joining, the rearranged V segments were located between V delta 1 and V delta 2. Interestingly, in the third group of 10 cases of silent PTCL, 5 cases were found to have a TCR gene configuration identical to that in the TCR alpha beta PTCL, as demonstrated by biallelic delta gene deletion. These 5 cases were CD3 positive. The 5 remaining cases showed a monoallelic delta gene rearrangement with a monoallelic germ line configuration in 4 and a monoallelic deletion in 1. Four of these cases were CD3 negative, which was consistent with an immature genotype the TCR commitent of which could not be ascertained. Finally, TCR gamma delta PTCL consisted of a distinct clinical morphological and molecular entity whereas TCR alpha beta and silent PTCL had a similar presentation. ",1,41
"Neonatal repair of tetralogy of Fallot with and without pulmonary atresia. Our experience with the arterial switch operation for transposition of the great arteries has confirmed the attainability of excellent results with elective neonatal surgery. Up to this time, we have repaired tetralogy of Fallot during the neonatal period only when symptoms, either severe persistent cyanosis or cyanotic spells, have been present. This review assesses the results of such nonelective neonatal correction of tetralogy between 1973 and 1988. Twenty-seven neonates with either symptomatic tetralogy of Fallot or symptomatic tetralogy of Fallot with valvar pulmonary atresia underwent repair. Mean age at repair was 8 +/- 8.4 days and mean weight was 3.0 +/- 0.7 kg. Unsatisfactory palliative shunts had previously been placed elsewhere in four patients. Twenty-five transannular patches and two conduits were used for reconstruction of the right ventricular outflow tract. There were five deaths in the hospital, three of which were due to avoidable technical problems. All deaths occurred in patients with pulmonary artery (Nakata) index less than 150 mm2/m2. One premature child weighing 2.3 kg displayed an absent pulmonary valve-like syndrome after repair and died late of respiratory complications caused by aneurysmal branch pulmonary arteries. Actuarial survival at 5 years was 74%. There was a single rapidly declining hazard phase for death, with the hazard approaching zero at 1 1/2 years after repair. Actuarial freedom from need for reoperation was 76% at 5 years. Postoperative catheterization of 15 long-term survivors showed right ventricular pressure less than 70% systemic in 13 cases. All patients are symptomatically well and functioning in sinus rhythm 1 to 15 years after repair (mean, 5 +/- 4 years). This experience with neonates with symptoms suggests that, if mortality is lower in the absence of symptoms, elective repair of tetralogy of Fallot could be reasonably undertaken during the first months of life. ",5,42
"Cardiac rhythm disturbances early after orthotopic heart transplantation: prevalence and clinical importance of the observed abnormalities. To precisely define the incidence, type and consequences of cardiac arrhythmias early after heart transplantation, 25 cardiac transplant recipients were monitored continuously for 728 days from the day of surgery to discharge or death. A subset of 15 patients had sinus node function studies with overdrive suppression performed weekly at the time of endomyocardial biopsy. Results revealed sinus bradycardia in 10 patients (40%) and junctional bradycardia in 6 (24%). Supraventricular tachycardia in the form of atrial tachycardia, atrial fibrillation and atrial flutter occurred in 11 patients (44%). Ventricular tachycardia occurred in 15 patients (60%) and was nonsustained in all. Cardiac pacing for 1,403 h was used in nine patients with a pulse rate less than 50 beats/min; seven recovered and permanent pacing was instituted in two. In the subgroup that had sinus node function studies, seven patients were identified with clinical bradyarrhythmia; each had abnormal sinus node recovery time (greater than 1,400 ms) and abnormal corrected sinus node recovery time (greater than 525 ms) in at least one study. These seven patients also had a significantly prolonged ischemic time (236 +/- 26 versus 159 +/- 68 min, p less than 0.01). In conclusion, cardiac arrhythmias, particularly ventricular tachycardia and bradyarrhythmia, occur more commonly early after orthotopic heart transplantation than has previously been reported. Sinus node dysfunction due to prolonged organ ischemic time, antiarrhythmic drug use or surgical trauma, alone or in combination, may contribute to these arrhythmias. ",4,43
"Quantitation of intrinsic drug-metabolizing capacity in human liver biopsy specimens: support for the intact-hepatocyte theory. Hepatic drug metabolism is decreased in patients with severe liver disease, but it is unclear to what extent this is due to altered hepatic blood flow or reduced intrinsic metabolic capacity. In this study we quantitated in needle-biopsy specimens the intrinsic capacity of liver tissue from 67 patients with mild liver disease (n = 36), chronic active hepatitis (n = 16) and cirrhosis (n = 15) to metabolize two model compounds in vitro. Hydroxylation of the low-extraction drug bufuralol resulted in the formation of 251 +/- 25 nmol 1'OH-bufuralol/gm wet wt/hr in mildly diseased liver tissue and was significantly (p less than 0.01) reduced in liver tissue exhibiting chronic active hepatitis (166 +/- 23 nmol/gm wet wt/hr) and cirrhosis (124 +/- 21 nmol/gm wet wt/hr). The formation rates of monoethylglycinexylidide, the main metabolite of the high-extraction drug lidocaine, varied widely and were not significantly different among the three groups. To relate the drug-metabolizing capacity to the hepatocyte content of liver tissue, morphometrical study was performed in the biopsy pieces originally submitted. The metabolic activity of each biopsy piece was then related to the fractional volume of hepatocytes it was calculated to contain. In mildly diseased liver tissue 355 +/- 35 nmol 1'OH-bufuralol/ml hepatocytes x hr or 12.4 +/- 1.0 mumol monoethylglycinexylidide/ml hepatocytes x hr- and in cirrhotic liver tissue 306 +/- 49 nmol 1'OH-bufuralol/ml hepatocytes x hr or 15.3 +/- 3.0 mumol monoethylglycinexylidide/ml hepatocytes x hr--were formed, respectively, and these differences were not significant. ",2,44
"Carotid artery resection and replacement in patients with head and neck malignant tumors. Tumor involvement of the carotid artery with head and neck cancers may be present either simultaneously with the primary lesion or more often appears at a later date following resection of the primary tumor. Management of the secondary tumor consists of its resection together with the involved carotid artery with or without carotid artery reconstruction. The Authors are convinced that the best chance for cure of patients with advanced head and neck squamous cell cancers involving the carotid artery is radical extirpation with ablative surgery in the form of en block resection of the primary lesion, the secondary tumor, and the involved carotid artery followed by immediate revascularization. This bold approach was carried out in two male patients, 48 and 61 years of age, followed by chemotherapy and radiation therapy in one and radiation therapy alone in the other, with excellent results. Dermal grafts were placed over the entire length of the arterialized veins to protect them from radiation injury. Based on this limited experience and excellent results, we recommend this one-stage surgical ablative procedure in well selected patients. However, cooperation between the ENT and vascular surgeons, strict adherence to the principles and techniques of vascular surgery, and coverage of the arterialized vein with a dermal graft is absolutely essential. ",5,45
"The treatment of chondrodermatitis nodularis with cartilage removal alone. Fifty-eight patients with chondrodermatitis nodularis on the antihelix in 24 ears (16 women and eight men) and the helix in 40 ears (six women and 34 men) were studied. Twelve ears responded to intralesional steroid therapy. Under local anesthetic, 46 operations were performed to remove cartilage without skin excision. On the helix, a longitudinal incision was made; on the antihelix, a flap was raised and the underlying cartilage was excised, taking care to leave no rough cartilage edges. Follow-up (mean, 16 months; range, 4.5 to 34 months) showed that 10 of 17 antihelix lesions and 24 of 29 helix lesions healed completely with excellent cosmetic results. Recurrences, requiring further treatment, occurred at cartilage-excision margins in seven ears, and further cartilage excision alone was successful in four ears. This study demonstrates that only cartilage needs to be removed in the surgical treatment of chondrodermatitis nodularis. ",5,46
"The influence of the calcium antagonist nimodipine and induced hypertension on the behavior of the cerebral pial arteries, the blood-brain barrier, cerebral edema, and cerebral infarction in cats with one-hour occlusion of the middle cerebral artery. Thirty anesthetized cats were randomly assigned to one of three groups of 10 cats each: nimodipine treatment, nimodipine treatment combined with induced hypertension, or a control group. The behavior of the cerebral pial arteries was measured by means of microscopic observation through a cranial window. The middle cerebral artery of each cat was clipped for 1 hour via the transorbital approach. Five hours after circulation was reestablished in the middle cerebral artery, Evans blue dye was injected intravenously: 30 minutes later, the animal was killed. Administration of nimodipine or saline in the treated or control group was started 5 minutes before the middle cerebral artery was clipped and maintained until the end of the experiment. Induced hypertension was produced by administration of dopamine during the occlusion. Damage to the blood-brain barrier (BBB) was judged by extravasation of Evans blue dye. Cerebral edema and infarction were evaluated from histological findings. They were most prominent in the control group: the extent of hemisphere affected was as follows (mean +/- standard error): extravasation, 40.5 +/- 8.8%; edema, 43.2 +/- 5.7%; infarction, 35.5 +/- 9.6%. On the other hand, the extravasation of Evans blue dye and cerebral edema were significantly more extensive in the group treated with nimodipine and induced hypertension (extravasation, 28.2 +/- 9.6% of the hemisphere; edema, 30.3 +/- 7.1%) than in the group treated with nimodipine alone (extravasation, 18.5 +/- 8.7% of the hemisphere; edema, 19.4 +/- 6.3%), but the infarction size was similar in both groups (16.6 +/- 4.9% of the hemisphere in the former; 17.0 +/- 6.2 in the latter). ",3,47
"Heffalumps, jagulars, and cheshire cats. A commentary on cytokeratins and soft tissue sarcomas. Historically, antibodies to cytokeratin intermediate filaments have been models of target specificity. In most diagnostic settings, the utility of these antibodies was unquestioned; reactivity for cytokeratin was dogmatically equated with epithelial differentiation. Recently, however, the diagnostic importance of these antibodies has been challenged, prompted by the demonstration of cytokeratin reactivity in a variety of ""nonepithelial"" neoplasms. In this review, the evolving literature on this topic is explored, and the practical implications of these findings are discussed. ",1,48
"The distribution of muscle weakness in upper motoneuron lesions affecting the lower limb. To determine the distribution of weakness in the lower limb after upper motoneuron lesions the strength of 8 muscle groups was measured. Four groups of patients were studied: 22 control subjects, 16 patients with unilateral leg paresis, 4 patients with severe unilateral paralysis and 5 patients with paraparesis. In the testing posture (seated), patients with cerebral upper motoneuron lesions showed no selective loss of power in flexors or extensors on the contralateral side. Gravitational torques were included in the measurements. However, proximal muscles (acting at hip and knee) were significantly less severely affected than more distal muscles (acting at ankle and hallux). At any particular joint, physiological flexors and extensors were affected equally in both the hemiparetic and paraparetic subjects. As in the upper limb (Colebatch and Gandevia, 1989), the strength of muscles on the clinically unaffected side was reduced compared with control subjects, although no muscle groups were especially affected. ",3,49
"Role of percutaneous fine-needle aspiration biopsy in suspected intrathoracic malignancy. Percutaneous fine-needle aspiration (PFNA) biopsy is an accepted technique for the diagnosis of suspected intrathoracic malignancy, but the appropriate indications for its use have not been clearly defined. To help establish guidelines, we performed a retrospective analysis of 188 patients who underwent PFNA biopsy for suspected intrathoracic malignancy. Biopsy led to a diagnosis in 72% (135/188) of the patients, but in 27% (50/188) samples were inadequate for cytological diagnosis, and in 2% (3/188) samples were adequate but failed to yield a diagnosis. Fifty-three patients underwent surgical intervention, thus allowing histological confirmation of the cytological diagnosis. In patients with a diagnosis from PFNA biopsy, operation confirmed malignancy in 97% (37/38) and a specific cell type in 79% (30/38). In patients without a diagnosis after biopsy, a malignancy was found in 73% (11/15) at the time of operation. This suggests a high rate of accuracy when PFNA biopsy provides a diagnosis. However, it also illustrates that a substantial percentage of PFNA biopsy attempts fail to yield a diagnosis in patients ultimately found to have malignancies. This implies that PFNA biopsy might best be reserved for patients who are not surgical candidates. ",1,50
